AcX1, AcY1, AcZ1, GyX1, GyY1, GyZ1, AcX2, AcY2, AcZ2, GyX2, GyY2, GyZ2
17232, 16, 6600, 349, 562, 273, 17224, 4676, -3512, -172, 90, 292
17072, 28, 6600, 337, 502, 246, 17096, 4532, -3504, -183, -41, 243
17228, 8, 6416, 367, 436, 253, 17272, 4880, -3856, -178, -19, 242
17204, 24, 6516, 332, 483, 228, 17380, 4600, -3588, -191, -6, 243
17224, 32, 6548, 341, 429, 237, 17188, 4696, -3868, -153, 8, 284
17156, -92, 6352, 383, 530, 321, 17384, 5272, -3772, -164, -11, 294
17136, -112, 6484, 347, 512, 254, 17236, 4808, -3740, -170, 116, 275
17168, 60, 6352, 337, 548, 245, 17196, 4576, -3724, -194, 34, 260
17204, 28, 6448, 333, 555, 258, 17204, 4604, -3684, -189, 75, 289
17072, -56, 6664, 351, 544, 228, 17292, 4600, -3740, -195, 85, 294
17216, 52, 6600, 354, 527, 246, 17220, 4684, -3772, -170, 138, 286
17080, -48, 6420, 343, 526, 245, 17224, 4628, -3604, -185, 60, 274
17116, 80, 6536, 318, 555, 246, 17216, 4640, -3808, -188, 41, 266
17112, -16, 6616, 339, 528, 247, 17224, 4664, -3796, -188, 62, 296
17168, -44, 6524, 339, 539, 249, 17356, 4704, -3728, -173, 70, 266
17236, -40, 6504, 342, 500, 250, 17192, 4640, -3596, -196, 68, 255
17148, -8, 6472, 343, 515, 240, 17260, 4584, -3792, -187, 33, 281
17164, 92, 6580, 350, 542, 236, 17156, 4548, -3620, -185, 61, 286
17168, 48, 6404, 348, 558, 235, 17112, 4668, -3588, -196, 69, 290
17076, -124, 6480, 358, 540, 255, 17228, 4624, -3724, -195, 90, 273
17072, 72, 6676, 357, 541, 237, 17176, 4620, -3548, -186, 62, 289
17168, -164, 6468, 337, 575, 284, 17300, 4720, -3568, -192, 223, 315
17120, -180, 6708, 310, 552, 260, 17092, 4592, -3392, -173, 21, 239
17168, 192, 6628, 337, 513, 260, 17260, 4296, -3892, -177, 37, 270
17068, 104, 6668, 328, 554, 251, 17172, 4972, -3984, -233, 316, 276
17040, -368, 6644, 323, 524, 255, 17204, 4704, -3664, -182, 84, 273
17296, 108, 6584, 344, 529, 271, 17088, 4432, -3688, -172, 58, 266
17176, 36, 6652, 343, 525, 235, 17244, 4684, -3512, -181, 97, 287
